seed: 2712633014

iter	duration	log_likelihood	delta-lle
0	2.294478	-4.4440881571788482e+07
1	8.458019	-3.9351440618755855e+07	5.0894409530326277e+06
2	8.993974	-3.5211135472414613e+07	4.1403051463412419e+06
3	8.724792	-3.4082696692343101e+07	1.1284387800715119e+06
4	8.679999	-3.3441546018156018e+07	6.4115067418708280e+05
5	8.776852	-3.2914778294320274e+07	5.2676772383574396e+05
6	8.706321	-3.2418173996918272e+07	4.9660429740200192e+05
7	8.684220	-3.1929657382567730e+07	4.8851661435054243e+05
8	8.678920	-3.1438921544078764e+07	4.9073583848896623e+05
9	8.667315	-3.0941999308861677e+07	4.9692223521708697e+05
10	8.619839	-3.0437459357454315e+07	5.0453995140736178e+05
11	8.659297	-2.9936233995000161e+07	5.0122536245415360e+05
12	8.697638	-2.9465173627395920e+07	4.7106036760424078e+05
13	8.645604	-2.9056767393643335e+07	4.0840623375258595e+05
14	8.571915	-2.8742564024772923e+07	3.1420336887041107e+05
15	8.564239	-2.8538791479030680e+07	2.0377254574224353e+05
16	8.490213	-2.8435030251782160e+07	1.0376122724851966e+05
17	8.444145	-2.8396211671765577e+07	3.8818580016583204e+04
18	8.503099	-2.8383294654998228e+07	1.2917016767349094e+04
19	8.471596	-2.8377518563224293e+07	5.7760917739346623e+03
20	8.550563	-2.8374099885617532e+07	3.4186776067614555e+03
21	8.483523	-2.8371630422927048e+07	2.4694626904837787e+03
22	8.465456	-2.8369680531760741e+07	1.9498911663070321e+03
23	8.493617	-2.8367993966743737e+07	1.6865650170035660e+03
24	8.485572	-2.8366643507597633e+07	1.3504591461047530e+03
25	8.469964	-2.8365428345941789e+07	1.2151616558432579e+03
26	8.429331	-2.8364634069734234e+07	7.9427620755508542e+02
27	8.519780	-2.8363507592910498e+07	1.1264768237359822e+03
28	8.694810	-2.8362437482422750e+07	1.0701104877479374e+03
29	8.579478	-2.8361410898051754e+07	1.0265843709968030e+03
30	8.584744	-2.8360414475116089e+07	9.9642293566465378e+02
31	8.573457	-2.8359439970112823e+07	9.7450500326603651e+02
32	8.602653	-2.8358482007300422e+07	9.5796281240135431e+02
33	8.619122	-2.8357534957419515e+07	9.4704988090693951e+02
34	8.543368	-2.8356592841970861e+07	9.4211544865369797e+02
35	8.603042	-2.8355648048060521e+07	9.4479391033947468e+02
36	8.562028	-2.8354694455663145e+07	9.5359239737689495e+02
37	8.581169	-2.8353726659242157e+07	9.6779642098769546e+02
38	8.574558	-2.8352738225264072e+07	9.8843397808447480e+02
39	8.586574	-2.8351726364597660e+07	1.0118606664128602e+03
40	8.530550	-2.8350688481473006e+07	1.0378831246532500e+03
41	8.380628	-2.8349604637060039e+07	1.0838444129675627e+03
42	8.454892	-2.8348447806136414e+07	1.1568309236243367e+03
43	8.360888	-2.8347194339410186e+07	1.2534667262285948e+03
44	8.399972	-2.8345818971939292e+07	1.3753674708940089e+03
45	8.344486	-2.8344297156625599e+07	1.5218153136931360e+03
46	8.347381	-2.8342608115321018e+07	1.6890413045808673e+03
47	8.361906	-2.8340723875548877e+07	1.8842397721409798e+03
48	8.283738	-2.8338639708133448e+07	2.0841674154289067e+03
49	8.323698	-2.8336380141773578e+07	2.2595663598701358e+03
50	8.257163	-2.8334017925352059e+07	2.3622164215184748e+03
51	8.331769	-2.8331662621209472e+07	2.3553041425868869e+03
52	8.221936	-2.8329384665037893e+07	2.2779561715796590e+03
53	8.206879	-2.8327258750125084e+07	2.1259149128086865e+03
54	8.167085	-2.8325648801683307e+07	1.6099484417773783e+03
55	8.206435	-2.8324793701071028e+07	8.5510061227902770e+02
56	8.272173	-2.8324249287158154e+07	5.4441391287371516e+02
57	8.248317	-2.8323790094719786e+07	4.5919243836775422e+02
58	8.319914	-2.8323423865098774e+07	3.6622962101176381e+02
59	8.326801	-2.8323142312683806e+07	2.8155241496860981e+02
60	8.253188	-2.8322934823776182e+07	2.0748890762403607e+02
61	8.301865	-2.8322760003131177e+07	1.7482064500451088e+02
62	8.270672	-2.8322608095450085e+07	1.5190768109261990e+02
63	8.231475	-2.8322472860258088e+07	1.3523519199714065e+02
64	8.188543	-2.8322351576224439e+07	1.2128403364866972e+02
65	8.212227	-2.8322242120913532e+07	1.0945531090721488e+02
66	8.258972	-2.8322141909117732e+07	1.0021179579943419e+02
67	8.209477	-2.8322048180697873e+07	9.3728419858962297e+01
68	8.274651	-2.8321959935569867e+07	8.8245128005743027e+01
69	8.215308	-2.8321876260802187e+07	8.3674767680466175e+01
70	8.181042	-2.8321796571222994e+07	7.9689579192548990e+01
71	8.196902	-2.8321720374810111e+07	7.6196412883698940e+01
72	8.153199	-2.8321647059547842e+07	7.3315262269228697e+01
73	8.224941	-2.8321576155424267e+07	7.0904123574495316e+01
74	8.185845	-2.8321507441869449e+07	6.8713554818183184e+01
75	8.091287	-2.8321440684431758e+07	6.6757437691092491e+01
76	8.254986	-2.8321375654744700e+07	6.5029687058180571e+01
77	8.204610	-2.8321312254135374e+07	6.3400609325617552e+01
78	8.275038	-2.8321250548498064e+07	6.1705637309700251e+01
79	8.255597	-2.8321190287503518e+07	6.0260994546115398e+01
80	8.233932	-2.8321131301088057e+07	5.8986415460705757e+01
81	8.200086	-2.8321073445401065e+07	5.7855686992406845e+01
82	8.168818	-2.8321016543889254e+07	5.6901511810719967e+01
83	8.175584	-2.8320960601495635e+07	5.5942393619567156e+01
84	8.254990	-2.8320905560503978e+07	5.5040991656482220e+01
85	8.277393	-2.8320851337888315e+07	5.4222615662962198e+01
86	8.238509	-2.8320797944738884e+07	5.3393149431794882e+01
