seed: 80104535

iter	duration	log_likelihood	delta-lle
0	3.050488	-4.4319608588338338e+07
1	14.808397	-3.9367899468149401e+07	4.9517091201889366e+06
2	14.957081	-3.5192001020175211e+07	4.1758984479741901e+06
3	14.751074	-3.4265406425999627e+07	9.2659459417558461e+05
4	14.802131	-3.3621978361908980e+07	6.4342806409064680e+05
5	14.679237	-3.3044774830670092e+07	5.7720353123888746e+05
6	14.627093	-3.2476864553807344e+07	5.6791027686274797e+05
7	14.579000	-3.1902463346313775e+07	5.7440120749356970e+05
8	14.643902	-3.1355288894845556e+07	5.4717445146821812e+05
9	14.461268	-3.0835170973383900e+07	5.2011792146165669e+05
10	14.444085	-3.0319590742600121e+07	5.1558023078377917e+05
11	14.325827	-2.9817464150904946e+07	5.0212659169517457e+05
12	14.429538	-2.9353246684892360e+07	4.6421746601258591e+05
13	14.492574	-2.8953140608961828e+07	4.0010607593053207e+05
14	14.221826	-2.8643983541545477e+07	3.0915706741635129e+05
15	14.148884	-2.8440311672071394e+07	2.0367186947408319e+05
16	14.259672	-2.8335289867641747e+07	1.0502180442964658e+05
17	14.201552	-2.8296013749280889e+07	3.9276118360858411e+04
18	14.003386	-2.8282073787816677e+07	1.3939961464211345e+04
19	14.067627	-2.8275164744889308e+07	6.9090429273694754e+03
20	14.094104	-2.8271085377950218e+07	4.0793669390901923e+03
21	14.102379	-2.8268334226752501e+07	2.7511511977165937e+03
22	14.135140	-2.8266302758737210e+07	2.0314680152907968e+03
23	13.899429	-2.8264882524624892e+07	1.4202341123186052e+03
24	13.936632	-2.8263937105029836e+07	9.4541959505528212e+02
25	13.999119	-2.8263206201080367e+07	7.3090394946932793e+02
26	13.875652	-2.8262582717270218e+07	6.2348381014913321e+02
27	13.901445	-2.8262032349171996e+07	5.5036809822171926e+02
28	13.779528	-2.8261515346929595e+07	5.1700224240124226e+02
29	13.946039	-2.8261022979594868e+07	4.9236733472719789e+02
30	13.979619	-2.8260539636297524e+07	4.8334329734370112e+02
31	13.860663	-2.8260062101601783e+07	4.7753469574078918e+02
32	13.843811	-2.8259588014126316e+07	4.7408747546747327e+02
33	14.038186	-2.8259117201734815e+07	4.7081239150092006e+02
34	13.948838	-2.8258636880215190e+07	4.8032151962444186e+02
35	13.957332	-2.8258156176369522e+07	4.8070384566858411e+02
36	13.779390	-2.8257662975734536e+07	4.9320063498616219e+02
37	13.821863	-2.8257150672818124e+07	5.1230291641131043e+02
38	13.919778	-2.8256617063170414e+07	5.3360964770987630e+02
39	13.919922	-2.8256176824434232e+07	4.4023873618245125e+02
40	13.924015	-2.8255581775667768e+07	5.9504876646399498e+02
41	13.773450	-2.8254995349051584e+07	5.8642661618441343e+02
42	13.950395	-2.8254344333729379e+07	6.5101532220467925e+02
43	13.952102	-2.8253663361433446e+07	6.8097229593247175e+02
44	13.783259	-2.8252952181856599e+07	7.1117957684770226e+02
45	13.775818	-2.8252208566164147e+07	7.4361569245159626e+02
46	13.891883	-2.8251489119899824e+07	7.1944626432284713e+02
47	13.947253	-2.8250638057126746e+07	8.5106277307868004e+02
48	13.869919	-2.8249715110827874e+07	9.2294629887118936e+02
49	13.915412	-2.8248697805383246e+07	1.0173054446280003e+03
50	13.774417	-2.8247561863306481e+07	1.1359420767650008e+03
51	13.811430	-2.8246272558892589e+07	1.2893044138923287e+03
52	13.744021	-2.8244787182322580e+07	1.4853765700086951e+03
53	13.702657	-2.8243077531610485e+07	1.7096507120952010e+03
54	13.636588	-2.8241151636843089e+07	1.9258947673961520e+03
55	13.762622	-2.8239047713193867e+07	2.1039236492216587e+03
56	13.715306	-2.8236898718087401e+07	2.1489951064661145e+03
57	13.788263	-2.8235455795373634e+07	1.4429227137677372e+03
58	13.526259	-2.8240057537255842e+07	-4.6017418822087348e+03
59	13.574595	-2.8238075778129775e+07	1.9817591260671616e+03
60	13.679565	-2.8236732779440127e+07	1.3429986896477640e+03
61	13.557447	-2.8236044337946527e+07	6.8844149360060692e+02
62	13.545079	-2.8235455871041790e+07	5.8846690473705530e+02
63	13.444160	-2.8233542000616122e+07	1.9138704256676137e+03
64	13.561534	-2.8230696365459263e+07	2.8456351568587124e+03
65	13.557206	-2.8229390638811756e+07	1.3057266475073993e+03
66	13.428744	-2.8228748931990054e+07	6.4170682170242071e+02
67	13.416738	-2.8228414411811929e+07	3.3452017812430859e+02
68	13.503965	-2.8228142360491790e+07	2.7205132013931870e+02
69	13.533892	-2.8227886679968882e+07	2.5568052290752530e+02
70	13.468340	-2.8227640133724581e+07	2.4654624430090189e+02
71	13.459114	-2.8227407680160206e+07	2.3245356437563896e+02
72	13.322746	-2.8227182152468368e+07	2.2552769183740020e+02
73	13.472775	-2.8226970717750039e+07	2.1143471832945943e+02
74	13.499177	-2.8226766136572924e+07	2.0458117711544037e+02
75	13.372073	-2.8226562845123384e+07	2.0329144953936338e+02
76	13.353912	-2.8226362793636490e+07	2.0005148689448833e+02
77	13.465739	-2.8226156594270200e+07	2.0619936629012227e+02
78	13.475798	-2.8225947384414904e+07	2.0920985529571772e+02
79	13.435067	-2.8225735403003365e+07	2.1198141153901815e+02
80	13.469446	-2.8225528599177465e+07	2.0680382589995861e+02
81	13.278362	-2.8225318408567294e+07	2.1019061017036438e+02
82	13.377733	-2.8225098297906850e+07	2.2011066044494510e+02
83	13.536595	-2.8224878771137498e+07	2.1952676935121417e+02
84	13.296498	-2.8224648783718046e+07	2.2998741945251822e+02
85	13.317912	-2.8224414072095525e+07	2.3471162252128124e+02
86	13.451936	-2.8224261456009693e+07	1.5261608583107591e+02
87	13.484239	-2.8224004261607107e+07	2.5719440258666873e+02
88	13.379777	-2.8223885539191712e+07	1.1872241539508104e+02
89	13.378624	-2.8223605996356405e+07	2.7954283530637622e+02
90	13.254266	-2.8223324252106778e+07	2.8174424962699413e+02
91	13.381240	-2.8223048948572140e+07	2.7530353463813663e+02
92	13.411125	-2.8222788140532576e+07	2.6080803956463933e+02
93	13.297208	-2.8222529448614825e+07	2.5869191775098443e+02
94	13.313676	-2.8222392402383924e+07	1.3704623090103269e+02
95	13.370099	-2.8222153452540722e+07	2.3894984320178628e+02
96	13.478942	-2.8221966054233283e+07	1.8739830743893981e+02
97	13.355418	-2.8221808794885110e+07	1.5725934817269444e+02
98	13.393795	-2.8221671427614052e+07	1.3736727105826139e+02
99	13.223731	-2.8221549561773159e+07	1.2186584089323878e+02
100	13.383058	-2.8221438906643230e+07	1.1065512992814183e+02
