iter	duration	delta-lle	log-likelihood
1	0.024318	0.0000000000000000e+00	6.2585439245108922e+04
2	0.011000	1.1992980839378899e+04	7.4578420084487821e+04
3	0.010969	0.0000000000000000e+00	7.4578420084487821e+04
4	0.010960	0.0000000000000000e+00	7.4578420084487821e+04
5	0.011204	0.0000000000000000e+00	7.4578420084487821e+04
6	0.010921	2.0980561392401578e+03	7.6676476223727979e+04
7	0.010943	5.4792122946980933e+04	1.3146859917070891e+05
8	0.010974	0.0000000000000000e+00	1.3146859917070891e+05
9	0.010947	4.4282078132638708e+02	1.3191141995203530e+05
10	0.010998	6.2432963558469201e+03	1.3815471630788222e+05
11	0.010957	9.0137047871830873e+02	1.3905608678660053e+05
12	0.010968	3.3915622174097225e+03	1.4244764900401025e+05
13	0.010946	0.0000000000000000e+00	1.4244764900401025e+05
14	0.010960	0.0000000000000000e+00	1.4244764900401025e+05
15	0.010931	0.0000000000000000e+00	1.4244764900401025e+05
16	0.010941	2.6947221623436781e+02	1.4271712122024462e+05
17	0.010974	3.0605672083242098e+03	1.4577768842856883e+05
18	0.010982	9.2731702525063884e+02	1.4670500545381947e+05
19	0.010955	0.0000000000000000e+00	1.4670500545381947e+05
20	0.010963	2.0669041607499821e+02	1.4691169586989447e+05
21	0.013186	1.3363546647769981e+03	1.4824805053467146e+05
22	0.013107	7.2310430237819673e+02	1.4897115483704966e+05
23	0.013156	0.0000000000000000e+00	1.4897115483704966e+05
24	0.013152	3.2637831019895384e+02	1.4929753314724861e+05
25	0.013142	8.0154126318544149e+02	1.5009907441043406e+05
26	0.002193	0.0000000000000000e+00	1.5009907441043406e+05
27	0.002197	0.0000000000000000e+00	1.5009907441043406e+05
28	0.002186	0.0000000000000000e+00	1.5009907441043406e+05
29	0.019657	1.6720127701858291e+02	1.5026627568745264e+05
30	0.019696	2.4664588064484997e+02	1.5051292156809749e+05
31	0.002204	0.0000000000000000e+00	1.5051292156809749e+05
32	0.002183	0.0000000000000000e+00	1.5051292156809749e+05
33	0.002192	0.0000000000000000e+00	1.5051292156809749e+05
34	0.026259	5.3160887120023835e+02	1.5104453043929773e+05
35	0.029159	1.0437126353522763e+02	1.5114890170283295e+05
36	0.028477	9.9622968400691752e+02	1.5214513138683987e+05
37	0.028437	1.8280951296615240e+03	1.5397322651650140e+05
38	0.028711	3.6789358152891509e+01	1.5401001587465429e+05
39	0.028573	2.8528172749851365e+02	1.5429529760215280e+05
40	0.028493	4.1258515655642259e+02	1.5470788275870922e+05
41	0.028494	9.2240657443847158e+02	1.5563028933314770e+05
42	0.002196	0.0000000000000000e+00	1.5563028933314770e+05
43	0.002190	0.0000000000000000e+00	1.5563028933314770e+05
44	0.002193	0.0000000000000000e+00	1.5563028933314770e+05
45	0.002242	0.0000000000000000e+00	1.5563028933314770e+05
46	0.002193	0.0000000000000000e+00	1.5563028933314770e+05
47	0.002225	0.0000000000000000e+00	1.5563028933314770e+05
48	0.004380	3.0025540060512139e+02	1.5593054473375282e+05
49	0.002183	0.0000000000000000e+00	1.5593054473375282e+05
50	0.002194	0.0000000000000000e+00	1.5593054473375282e+05
51	0.002193	0.0000000000000000e+00	1.5593054473375282e+05
52	0.002191	0.0000000000000000e+00	1.5593054473375282e+05
53	0.004385	5.5690697933338524e+03	1.6149961452708667e+05
54	0.002213	0.0000000000000000e+00	1.6149961452708667e+05
55	0.002191	0.0000000000000000e+00	1.6149961452708667e+05
56	0.002192	0.0000000000000000e+00	1.6149961452708667e+05
57	0.004409	0.0000000000000000e+00	1.6149961452708667e+05
58	0.004385	0.0000000000000000e+00	1.6149961452708667e+05
59	0.002190	0.0000000000000000e+00	1.6149961452708667e+05
60	0.004378	0.0000000000000000e+00	1.6149961452708667e+05
61	0.002201	0.0000000000000000e+00	1.6149961452708667e+05
62	0.002194	0.0000000000000000e+00	1.6149961452708667e+05
63	0.002189	0.0000000000000000e+00	1.6149961452708667e+05
64	0.004386	0.0000000000000000e+00	1.6149961452708667e+05
65	0.002185	0.0000000000000000e+00	1.6149961452708667e+05
66	0.002196	0.0000000000000000e+00	1.6149961452708667e+05
67	0.004385	1.5830336587329512e+03	1.6308264818581962e+05
68	0.002198	0.0000000000000000e+00	1.6308264818581962e+05
69	0.002209	0.0000000000000000e+00	1.6308264818581962e+05
70	0.002194	0.0000000000000000e+00	1.6308264818581962e+05
71	0.002192	0.0000000000000000e+00	1.6308264818581962e+05
72	0.004385	0.0000000000000000e+00	1.6308264818581962e+05
73	0.004377	0.0000000000000000e+00	1.6308264818581962e+05
74	0.002204	0.0000000000000000e+00	1.6308264818581962e+05
75	0.002216	0.0000000000000000e+00	1.6308264818581962e+05
76	0.002204	0.0000000000000000e+00	1.6308264818581962e+05
77	0.004391	1.9106813817281218e+03	1.6499332956754774e+05
78	0.004378	0.0000000000000000e+00	1.6499332956754774e+05
79	0.002267	0.0000000000000000e+00	1.6499332956754774e+05
80	0.004378	0.0000000000000000e+00	1.6499332956754774e+05
81	0.002186	0.0000000000000000e+00	1.6499332956754774e+05
82	0.002197	0.0000000000000000e+00	1.6499332956754774e+05
83	0.002194	0.0000000000000000e+00	1.6499332956754774e+05
84	0.004371	0.0000000000000000e+00	1.6499332956754774e+05
85	0.002195	0.0000000000000000e+00	1.6499332956754774e+05
86	0.004374	0.0000000000000000e+00	1.6499332956754774e+05
87	0.002188	0.0000000000000000e+00	1.6499332956754774e+05
88	0.002193	0.0000000000000000e+00	1.6499332956754774e+05
89	0.002197	0.0000000000000000e+00	1.6499332956754774e+05
90	0.002192	0.0000000000000000e+00	1.6499332956754774e+05
91	0.002226	0.0000000000000000e+00	1.6499332956754774e+05
92	0.002262	0.0000000000000000e+00	1.6499332956754774e+05
93	0.002272	0.0000000000000000e+00	1.6499332956754774e+05
94	0.002281	0.0000000000000000e+00	1.6499332956754774e+05
95	0.004421	1.8640481779031688e+01	1.6501197004932677e+05
96	0.002190	0.0000000000000000e+00	1.6501197004932677e+05
97	0.002200	0.0000000000000000e+00	1.6501197004932677e+05
98	0.004394	1.2082395380640519e+03	1.6622020958739083e+05
99	0.002187	0.0000000000000000e+00	1.6622020958739083e+05
100	0.002196	0.0000000000000000e+00	1.6622020958739083e+05
101	0.002189	0.0000000000000000e+00	1.6622020958739083e+05
102	0.002199	0.0000000000000000e+00	1.6622020958739083e+05
103	0.002191	0.0000000000000000e+00	1.6622020958739083e+05
104	0.002185	0.0000000000000000e+00	1.6622020958739083e+05
105	0.002192	0.0000000000000000e+00	1.6622020958739083e+05
106	0.002187	0.0000000000000000e+00	1.6622020958739083e+05
107	0.002201	0.0000000000000000e+00	1.6622020958739083e+05
108	0.004363	0.0000000000000000e+00	1.6622020958739083e+05
109	0.004383	5.3500787373419735e+02	1.6675521746112502e+05
110	0.004389	0.0000000000000000e+00	1.6675521746112502e+05
111	0.002192	0.0000000000000000e+00	1.6675521746112502e+05
112	0.002196	0.0000000000000000e+00	1.6675521746112502e+05
113	0.002192	0.0000000000000000e+00	1.6675521746112502e+05
